Month,Commodities,Price,TAVG,TMIN,TMAX
01-01-2014,Rice,27.23,20.2,16,26.4
01-02-2014,Rice,27.44,22.2,0,29.8
01-03-2014,Rice,27.57,23.8,19.9,31.1
01-04-2014,Rice,27.44,28.3,21.9,35.8
01-05-2014,Rice,27.57,28.8,24.2,36
01-06-2014,Rice,27.79,27.6,20.1,35
01-07-2014,Rice,28.26,24.9,21.1,31.3
01-08-2014,Rice,28.38,22.8,20.5,28.4
01-09-2014,Rice,28.78,22.6,20.4,27.4
01-10-2014,Rice,28.54,24.7,20.7,29.9
01-11-2014,Rice,28.15,23.1,0,28.2
01-12-2014,Rice,27.86,22,0,28.2
01-01-2015,Rice,27.64,22.3,0,29.5
01-02-2015,Rice,27.66,21.9,16.2,30.2
01-03-2015,Rice,27.43,25.2,20.8,32.6
01-04-2015,Rice,27.56,26.9,21.6,33.4
01-05-2015,Rice,27.5,26.8,20.1,33.8
01-06-2015,Rice,27.58,24.3,0,31
01-07-2015,Rice,27.52,24.6,20.6,30.7
01-08-2015,Rice,27.34,23.7,20.6,30.3
01-09-2015,Rice,27.4,25.5,21.1,31
01-10-2015,Rice,27.55,24.5,21,30
01-11-2015,Rice,27.52,23.4,21.7,29.5
01-12-2015,Rice,27.43,21.1,0,23.8
01-01-2016,Rice,27.06,20.1,15.7,28.4
01-02-2016,Rice,27.04,23.4,16.4,31.4
01-03-2016,Rice,26.95,24.7,18.9,30.7
01-04-2016,Rice,26.85,28.4,23.2,34.8
01-05-2016,Rice,26.83,30.6,24.4,36.6
01-06-2016,Rice,27.03,25.4,0,0
01-07-2016,Rice,27.38,23.3,20.2,0
01-08-2016,Rice,27.53,22.2,19.8,27
01-09-2016,Rice,27.51,23.2,20,26.2
01-10-2016,Rice,27.45,23.2,19.6,29.7
01-11-2016,Rice,27.73,23.7,20.8,30.6
01-12-2016,Rice,28.15,21.6,17.6,30
01-01-2017,Rice,28.34,21,14.6,27.6
01-02-2017,Rice,28.87,23.1,16,32
01-03-2017,Rice,28.85,24.2,16.9,32.5
01-04-2017,Rice,28.64,28.6,22.5,35.8
01-05-2017,Rice,28.84,26.8,20.5,35.6
01-06-2017,Rice,29.07,26.1,20.8,0
01-07-2017,Rice,29.48,24.6,19.3,0
01-08-2017,Rice,29.46,25.2,21.4,30.5
01-09-2017,Rice,29.47,23.7,19.8,30.6
01-10-2017,Rice,29.81,23.1,0,0
01-11-2017,Rice,30,21.7,19.9,25
01-12-2017,Rice,29.82,19.8,0,24.7
01-01-2018,Rice,30.13,22.2,16.6,28.4
01-02-2018,Rice,30.08,21.9,13.2,29.6
01-03-2018,Rice,30.08,25.2,18.2,33.2
01-04-2018,Rice,30.03,27.6,21.2,33.2
01-05-2018,Rice,29.98,26.9,21.4,35.2
01-06-2018,Rice,30.1,24.4,0,30.3
01-07-2018,Rice,30.22,24.2,20.6,29.5
01-08-2018,Rice,30.04,21.9,19.4,27.2
01-09-2018,Rice,29.9,23.7,20,28.3
01-10-2018,Rice,29.97,25.5,21.6,30.9
01-11-2018,Rice,29.98,24.3,20,30.4
01-12-2018,Rice,30.04,21.8,0,29.5
01-01-2019,Rice,30.09,20.3,14,27.6
01-02-2019,Rice,30.34,21.4,15.7,28.2
01-03-2019,Rice,30.35,26.3,21.3,33.8
01-04-2019,Rice,30.41,28.7,22.9,35.6
01-05-2019,Rice,30.86,26.3,0,0
01-06-2019,Rice,31.54,27.5,21,33.2
01-07-2019,Rice,31.68,25.6,21,29.8
01-08-2019,Rice,32.04,24.7,20.5,29.9
01-09-2019,Rice,32.38,23,0,26.4
01-10-2019,Rice,33.11,23.5,0,30.3
01-11-2019,Rice,33.63,23.8,18,0
01-12-2019,Rice,33.48,21.2,0,24.6
01-01-2020,Rice,33.54,22,19.2,27.2
01-02-2020,Rice,33.54,23.4,18.8,32.7
01-03-2020,Rice,33.34,25.5,20.2,32.8
01-04-2020,Rice,34.07,28.8,21,35.4
01-05-2020,Rice,34.09,28.7,23,32.8
01-06-2020,Rice,34.34,25.9,22.4,32.8
01-07-2020,Rice,34.21,24.7,21.2,29.4
01-08-2020,Rice,34.54,23,20.4,29.6
01-09-2020,Rice,34.74,24,20,29.8
01-10-2020,Rice,34.87,23.5,19.5,0
01-11-2020,Rice,35.02,24.8,19,0
01-12-2020,Rice,34.62,21.1,17,27
01-01-2021,Rice,37.46,20.6,16.6,25.3
01-02-2021,Rice,37.48,22.8,16.8,30.1
01-03-2021,Rice,37.71,25.4,17.4,33.8
01-04-2021,Rice,36.62,29.2,23.1,37.2
01-05-2021,Rice,36.22,27.1,22.5,33.4
01-06-2021,Rice,35.66,26.1,21.1,32.3
01-07-2021,Rice,35.58,25.7,23,32.7
01-08-2021,Rice,35.39,23.2,20,28
01-09-2021,Rice,35.1,23.6,20.9,29.3
01-10-2021,Rice,35.27,23,19.9,29.8
01-11-2021,Rice,35.49,22.9,20.8,27.8
01-12-2021,Rice,35.53,21.7,20,26.4
01-01-2022,Rice,35.43,21.4,18.5,24.6
01-02-2022,Rice,35.82,24,19.5,30.6
01-03-2022,Rice,36.12,25.2,18.4,32.1
01-04-2022,Rice,35.92,27.1,23.4,34.6
01-05-2022,Rice,36.03,24.9,20.4,34.8
01-06-2022,Rice,36.28,25.2,21.2,30.4
01-07-2022,Rice,36.59,23.6,20.5,28.7
01-08-2022,Rice,37.43,24.2,20.3,30.5
01-09-2022,Rice,38.07,23.1,19.1,28.4
01-10-2022,Rice,38.1,20.9,18.7,25.4
01-11-2022,Rice,37.97,21.6,17.1,29.3
01-12-2022,Rice,38.04,21.3,17.8,28.1
01-01-2023,Rice,38.09,22.5,15.9,29
01-02-2023,Rice,38.63,22.5,15.4,28.8
01-03-2023,Rice,38.82,23.8,17.1,30.2
01-04-2023,Rice,39.04,28.3,23.5,35
01-05-2023,Rice,39.22,24.6,21.5,32
01-06-2023,Rice,39.74,26.3,21.3,31.4
01-07-2023,Rice,40.73,25.6,21.4,30.4
01-08-2023,Rice,41.5,24.1,20.8,29.3
01-09-2023,Rice,42.17,24.8,19.9,31
01-10-2023,Rice,42.59,24,21.1,28.1
01-11-2023,Rice,43.03,23.4,18.9,28.6
01-12-2023,Rice,43.38,22.7,19.9,28.3
01-01-2024,Rice,43.62,21.1,16.9,30.6
01-02-2024,Rice,44.1,23.1,17.1,33.8
01-03-2024,Rice,44.28,22.6,14.5,34.5
01-04-2024,Rice,44.35,21.5,13.6,33.3
01-05-2024,Rice,44.5,23.1,16.9,31.8
